station	d_lat	d_lon	gpsweek	date
CORD	0.009	0.010	1789	2014-04-23
CORD	0.008	0.010	1790	2014-04-30
CORD	0.008	0.010	1791	2014-05-07
CORD	0.008	0.010	1792	2014-05-14
CORD	0.008	0.010	1793	2014-05-21
CORD	0.008	0.011	1794	2014-05-28
CORD	0.008	0.010	1795	2014-06-04
CORD	0.008	0.010	1796	2014-06-11
CORD	0.008	0.010	1797	2014-06-18
CORD	0.008	0.010	1798	2014-06-25
CORD	0.008	0.010	1799	2014-07-02
CORD	0.008	0.010	1800	2014-07-09
CORD	0.008	0.010	1801	2014-07-16
CORD	0.008	0.010	1802	2014-07-23
CORD	-0.007	0.004	1803	2014-07-30
CORD	-0.007	0.004	1804	2014-08-06
CORD	-0.007	0.004	1805	2014-08-13
CORD	-0.006	0.004	1806	2014-08-20
CORD	-0.007	0.004	1807	2014-08-27
CORD	-0.006	0.004	1808	2014-09-03
CORD	-0.006	0.003	1809	2014-09-10
CORD	-0.007	0.003	1810	2014-09-17
CORD	-0.006	0.003	1811	2014-09-24
CORD	-0.011	0.007	1812	2014-10-01
CORD	-0.010	0.007	1813	2014-10-08
CORD	-0.009	0.007	1814	2014-10-15
CORD	-0.009	0.008	1815	2014-10-22
CORD	-0.006	0.003	1816	2014-10-29
CORD	-0.007	0.003	1817	2014-11-05
CORD	-0.006	0.003	1818	2014-11-12
CORD	-0.006	0.004	1819	2014-11-19
CORD	-0.006	0.003	1821	2014-12-03
CORD	-0.005	0.003	1822	2014-12-10
CORD	-0.006	0.003	1823	2014-12-17
CORD	-0.006	0.003	1824	2014-12-24
CORD	-0.006	0.003	1825	2014-12-31
CORD	-0.005	0.004	1826	2015-01-07
CORD	-0.005	0.004	1827	2015-01-14
CORD	-0.005	0.003	1828	2015-01-21
CORD	-0.006	0.003	1830	2015-02-04
CORD	-0.006	0.003	1831	2015-02-11
CORD	-0.007	0.003	1832	2015-02-18
CORD	-0.007	0.003	1833	2015-02-25
CORD	-0.005	0.004	1834	2015-03-04
CORD	-0.005	0.003	1835	2015-03-11
CORD	-0.006	0.004	1836	2015-03-18
CORD	-0.008	0.003	1837	2015-03-25
CORD	-0.006	0.003	1838	2015-04-01
CORD	-0.006	0.003	1839	2015-04-08
CORD	-0.005	0.004	1840	2015-04-15
CORD	-0.006	0.003	1841	2015-04-22
CORD	-0.006	0.003	1842	2015-04-29
CORD	-0.007	0.004	1843	2015-05-06
CORD	-0.007	0.004	1844	2015-05-13
CORD	-0.006	0.004	1845	2015-05-20
CORD	-0.008	0.004	1846	2015-05-27
CORD	-0.007	0.004	1847	2015-06-03
CORD	-0.007	0.004	1848	2015-06-10
CORD	-0.007	0.004	1849	2015-06-17
CORD	-0.008	0.004	1850	2015-06-24
CORD	-0.008	0.004	1851	2015-07-01
CORD	-0.007	0.004	1852	2015-07-08
CORD	-0.008	0.004	1853	2015-07-15
CORD	-0.008	0.004	1854	2015-07-22
CORD	-0.007	0.003	1855	2015-07-29
CORD	-0.007	0.004	1856	2015-08-05
CORD	-0.008	0.004	1858	2015-08-19
CORD	-0.007	0.003	1859	2015-08-26
CORD	-0.007	0.003	1860	2015-09-02
