ep	lat	lon	d_lat	d_lon	gpsweek	date
AGGO	-34.873708096375246	-58.13985640589829	-0.003	-0.001	1937	2017-02-22
AZUL	-36.76702223009906	-59.8812801842934	-0.000	0.001	1937	2017-02-22
BCAR	-37.76123356567683	-58.30109509354228	-0.007	-0.001	1937	2017-02-22
BCH1	-41.146773039395406	-71.29891259703122	-0.008	0.015	1937	2017-02-22
CATA	-28.470985029061833	-65.77412091331433	-0.016	-0.008	1937	2017-02-22
CHAC	-27.42043994273047	-58.959693116768456	0.000	-0.001	1937	2017-02-22
CORD	-31.52843459008249	-64.47004826897802	-0.003	0.001	1937	2017-02-22
CSLO	-31.78488726582588	-69.30221395819393	0.022	0.011	1937	2017-02-22
ESQU	-42.91711362530842	-71.32340060433296	-0.001	-0.005	1937	2017-02-22
GUAY	-31.869130428540167	-59.02622282602728	-0.000	-0.002	1937	2017-02-22
IGM1	-34.57224370224664	-58.4393193260698	-0.005	0.001	1937	2017-02-22
JBAL	-27.584408297893866	-65.62274965425992	-0.005	0.009	1937	2017-02-22
LHCL	-38.00265952311207	-65.59524722917732	-0.004	0.011	1937	2017-02-22
LPGS	-34.906745112175344	-57.93229954069133	0.001	0.000	1937	2017-02-22
MA01	-38.951048919885025	-68.05735158169708	0.001	-0.003	1937	2017-02-22
MGUE	-35.7773519757052	-69.39791955304007	0.022	-0.133	1937	2017-02-22
MPL2	-38.00576733725101	-57.57129728813324	0.001	0.003	1937	2017-02-22
MZAE	-33.2548431926997	-68.15006143589231	-0.000	-0.014	1937	2017-02-22
MZAU	-33.73595663937883	-69.11841199430093	-0.005	0.048	1937	2017-02-22
MZGA	-34.97843322273402	-67.69616573922097	-0.018	0.092	1937	2017-02-22
MZRF	-34.61237727124794	-68.33148224536684	-0.018	-0.117	1937	2017-02-22
PEJO	-35.80632460569043	-61.894638641610676	-0.002	0.003	1937	2017-02-22
PRNA	-31.781435877828756	-60.46943928335337	0.008	0.003	1937	2017-02-22
RECO	-29.14635862122474	-59.66442943950647	0.000	-0.003	1937	2017-02-22
RSAL	-29.789444676676577	-55.768839926369246	-0.000	0.001	1937	2017-02-22
RSCL	-28.141879535665133	-54.754759511457145	-0.000	0.000	1937	2017-02-22
RWSN	-43.298880660070104	-65.10724833970625	0.001	0.008	1937	2017-02-22
SL01	-33.15635627824368	-66.31400958032137	-0.015	-0.012	1937	2017-02-22
SRLP	-36.621499459860786	-64.28040465777126	-0.002	-0.004	1937	2017-02-22
TERO	-27.789145165540354	-64.25678073035498	-0.001	0.004	1937	2017-02-22
TUCU	-26.843255097854012	-65.23035158308355	-0.002	-0.000	1937	2017-02-22
UNRO	-32.959352931138326	-60.62842521633276	0.000	0.001	1937	2017-02-22
UNSA	-24.727456333435057	-65.40764329775263	0.003	-0.000	1937	2017-02-22
UNSJ	-31.54125781896486	-68.57706068957148	-0.020	0.026	1937	2017-02-22
UYCO	-34.462987084415765	-57.83538153781182	-0.001	-0.007	1937	2017-02-22
UYPA	-32.291249580770206	-58.067188502863395	0.001	0.000	1937	2017-02-22
UYSA	-31.375171818146526	-57.95978005460757	-0.001	-0.003	1937	2017-02-22
UYSO	-33.2612616143228	-58.01361780371121	-0.000	0.001	1937	2017-02-22
UYTD	-30.946270341751447	-57.52450132296068	0.000	0.000	1937	2017-02-22
VBCA	-38.700768190358396	-62.26922711152452	-0.001	-0.012	1937	2017-02-22
YEMA	-24.280730908188566	-61.236506049181756	-0.002	-0.002	1937	2017-02-22
