ep	lat	lon	d_lat	d_lon	gpsweek	date
AZUL	-36.76702223009906	-59.8812801842934	-0.000	0.001	1650	2011-08-24
BCAR	-37.76123356567683	-58.30109509354228	-0.007	0.004	1650	2011-08-24
CATA	-28.470985029061833	-65.77412091331433	0.000	-0.002	1650	2011-08-24
CSLO	-31.78488726582588	-69.30221395819393	0.013	0.033	1650	2011-08-24
EBYP	-27.36894412524986	-55.89217452451775	-0.001	-0.002	1650	2011-08-24
ESQU	-42.91711362530842	-71.32340060433296	-0.000	0.001	1650	2011-08-24
IGM1	-34.57224370224664	-58.4393193260698	0.000	-0.003	1650	2011-08-24
JBAL	-27.584408297893866	-65.62274965425992	0.002	0.008	1650	2011-08-24
LHCL	-38.00265952311207	-65.59524722917732	-0.004	0.005	1650	2011-08-24
LPGS	-34.906745112175344	-57.93229954069133	-0.000	0.000	1650	2011-08-24
MA01	-38.951048919885025	-68.05735158169708	0.002	-0.003	1650	2011-08-24
MECO	-29.184887143117987	-58.075845330311196	-0.000	-0.000	1650	2011-08-24
MPL2	-38.00576733725101	-57.57129728813324	0.001	0.001	1650	2011-08-24
MZAC	-32.89515276182431	-68.87557364319174	0.013	0.022	1650	2011-08-24
MZAE	-33.2548431926997	-68.15006143589231	-0.001	-0.020	1650	2011-08-24
RIO2	-53.78547188615282	-67.75111788925638	-0.000	-0.006	1650	2011-08-24
SL01	-33.15635627824368	-66.31400958032137	-0.014	-0.008	1650	2011-08-24
SRLP	-36.621499459860786	-64.28040465777126	-0.001	-0.003	1650	2011-08-24
TERO	-27.789145165540354	-64.25678073035498	0.000	0.002	1650	2011-08-24
TUCU	-26.843255097854012	-65.23035158308355	-0.002	0.003	1650	2011-08-24
UCOR	-31.434959985505085	-64.19350560160618	-0.002	-0.004	1650	2011-08-24
UNRO	-32.959352931138326	-60.62842521633276	0.000	0.002	1650	2011-08-24
UNSA	-24.727456333435057	-65.40764329775263	0.001	-0.003	1650	2011-08-24
UNSJ	-31.54125781896486	-68.57706068957148	0.006	0.018	1650	2011-08-24
UYPA	-32.291249580770206	-58.067188502863395	-0.000	-0.000	1650	2011-08-24
UYSO	-33.2612616143228	-58.01361780371121	0.000	0.000	1650	2011-08-24
VBCA	-38.700768190358396	-62.26922711152452	0.001	-0.004	1650	2011-08-24
