ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.007	-0.014	1803	2014-07-30
AUTF	-54.83952495941909	-68.30356658110837	-0.004	0.039	1803	2014-07-30
AZUL	-36.76702223009906	-59.8812801842934	0.008	-0.008	1803	2014-07-30
BCAR	-37.76123356567683	-58.30109509354228	-0.002	0.006	1803	2014-07-30
CATA	-28.470985029061833	-65.77412091331433	-0.009	0.003	1803	2014-07-30
CHAC	-27.42043994273047	-58.959693116768456	0.006	0.006	1803	2014-07-30
CORD	-31.52843459008249	-64.47004826897802	0.000	0.006	1803	2014-07-30
COYQ	-45.51434093340902	-71.89208081758498	-0.034	0.010	1803	2014-07-30
CSLO	-31.78488726582588	-69.30221395819393	0.038	0.087	1803	2014-07-30
EBYP	-27.36894412524986	-55.89217452451775	0.000	-0.002	1803	2014-07-30
ESQU	-42.91711362530842	-71.32340060433296	-0.018	0.022	1803	2014-07-30
IGM1	-34.57224370224664	-58.4393193260698	-0.002	-0.005	1803	2014-07-30
JBAL	-27.584408297893866	-65.62274965425992	0.009	0.014	1803	2014-07-30
LHCL	-38.00265952311207	-65.59524722917732	-0.009	-0.009	1803	2014-07-30
LPGS	-34.906745112175344	-57.93229954069133	0.002	-0.000	1803	2014-07-30
MA01	-38.951048919885025	-68.05735158169708	0.050	0.096	1803	2014-07-30
MGUE	-35.7773519757052	-69.39791955304007	0.145	-0.485	1803	2014-07-30
MZAC	-32.89515276182431	-68.87557364319174	-0.003	0.058	1803	2014-07-30
MZAE	-33.2548431926997	-68.15006143589231	0.012	0.068	1803	2014-07-30
MZAU	-33.73595663937883	-69.11841199430093	-0.013	-0.202	1803	2014-07-30
MZGA	-34.97843322273402	-67.69616573922097	-0.064	0.139	1803	2014-07-30
NESA	-40.105393075307816	-64.45400475037691	-0.012	0.045	1803	2014-07-30
PEJO	-35.80632460569043	-61.894638641610676	-0.013	0.031	1803	2014-07-30
PRCV	-24.962753927614642	-53.46632948558449	0.003	0.003	1803	2014-07-30
PRNA	-31.781435877828756	-60.46943928335337	0.017	0.000	1803	2014-07-30
RIO2	-53.78547188615282	-67.75111788925638	-0.008	-0.024	1803	2014-07-30
RSAL	-29.789444676676577	-55.768839926369246	-0.000	0.005	1803	2014-07-30
RWSN	-43.298880660070104	-65.10724833970625	-0.018	0.074	1803	2014-07-30
SL01	-33.15635627824368	-66.31400958032137	-0.050	0.038	1803	2014-07-30
SRLP	-36.621499459860786	-64.28040465777126	-0.016	-0.034	1803	2014-07-30
SVIC	-26.993713676290895	-54.48752051750666	-0.004	-0.003	1803	2014-07-30
TERO	-27.789145165540354	-64.25678073035498	0.009	-0.018	1803	2014-07-30
TUCU	-26.843255097854012	-65.23035158308355	-0.004	0.001	1803	2014-07-30
UCOR	-31.434959985505085	-64.19350560160618	0.013	0.004	1803	2014-07-30
UNPA	-51.64799258327335	-69.20865409567784	0.035	-0.008	1803	2014-07-30
UNRO	-32.959352931138326	-60.62842521633276	-0.015	-0.004	1803	2014-07-30
UNSA	-24.727456333435057	-65.40764329775263	0.019	-0.016	1803	2014-07-30
UNSJ	-31.54125781896486	-68.57706068957148	0.011	0.045	1803	2014-07-30
UYPA	-32.291249580770206	-58.067188502863395	0.002	-0.002	1803	2014-07-30
UYSO	-33.2612616143228	-58.01361780371121	-0.003	0.009	1803	2014-07-30
VBCA	-38.700768190358396	-62.26922711152452	0.005	0.011	1803	2014-07-30
YCBA	-22.0171034483961	-63.67998476251615	0.010	0.000	1803	2014-07-30
YEMA	-24.280730908188566	-61.236506049181756	-0.003	-0.007	1803	2014-07-30
