ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.008	-0.011	1786	2014-04-02
AUTF	-54.83952495941909	-68.30356658110837	-0.007	0.037	1786	2014-04-02
AZUL	-36.76702223009906	-59.8812801842934	0.004	-0.011	1786	2014-04-02
BCAR	-37.76123356567683	-58.30109509354228	-0.000	0.005	1786	2014-04-02
CATA	-28.470985029061833	-65.77412091331433	-0.007	0.002	1786	2014-04-02
CHAC	-27.42043994273047	-58.959693116768456	0.011	0.009	1786	2014-04-02
CSLO	-31.78488726582588	-69.30221395819393	0.037	0.083	1786	2014-04-02
EBYP	-27.36894412524986	-55.89217452451775	-0.001	-0.001	1786	2014-04-02
ESQU	-42.91711362530842	-71.32340060433296	-0.051	0.100	1786	2014-04-02
IGM1	-34.57224370224664	-58.4393193260698	-0.003	-0.004	1786	2014-04-02
JBAL	-27.584408297893866	-65.62274965425992	0.008	0.017	1786	2014-04-02
LHCL	-38.00265952311207	-65.59524722917732	-0.020	-0.022	1786	2014-04-02
LPGS	-34.906745112175344	-57.93229954069133	0.003	-0.000	1786	2014-04-02
MA01	-38.951048919885025	-68.05735158169708	0.049	0.096	1786	2014-04-02
MGUE	-35.7773519757052	-69.39791955304007	0.084	-0.601	1786	2014-04-02
MZAC	-32.89515276182431	-68.87557364319174	-0.022	-0.057	1786	2014-04-02
MZAE	-33.2548431926997	-68.15006143589231	-0.002	-0.039	1786	2014-04-02
NESA	-40.105393075307816	-64.45400475037691	-0.011	0.045	1786	2014-04-02
PRCV	-24.962753927614642	-53.46632948558449	0.003	0.003	1786	2014-04-02
PRNA	-31.781435877828756	-60.46943928335337	0.023	-0.000	1786	2014-04-02
RIO2	-53.78547188615282	-67.75111788925638	-0.009	-0.022	1786	2014-04-02
RSAL	-29.789444676676577	-55.768839926369246	0.000	0.004	1786	2014-04-02
SL01	-33.15635627824368	-66.31400958032137	-0.066	-0.028	1786	2014-04-02
SVIC	-26.993713676290895	-54.48752051750666	-0.004	-0.003	1786	2014-04-02
TERO	-27.789145165540354	-64.25678073035498	0.007	-0.016	1786	2014-04-02
UCOR	-31.434959985505085	-64.19350560160618	0.025	0.015	1786	2014-04-02
UNPA	-51.64799258327335	-69.20865409567784	0.031	-0.006	1786	2014-04-02
UNRO	-32.959352931138326	-60.62842521633276	-0.020	-0.005	1786	2014-04-02
UNSA	-24.727456333435057	-65.40764329775263	0.010	-0.013	1786	2014-04-02
UNSJ	-31.54125781896486	-68.57706068957148	0.011	0.046	1786	2014-04-02
UYPA	-32.291249580770206	-58.067188502863395	0.001	-0.001	1786	2014-04-02
UYSO	-33.2612616143228	-58.01361780371121	-0.002	0.008	1786	2014-04-02
VBCA	-38.700768190358396	-62.26922711152452	-0.004	0.012	1786	2014-04-02
YCBA	-22.0171034483961	-63.67998476251615	0.007	-0.005	1786	2014-04-02
