ep	lat	lon	d_lat	d_lon	gpsweek	date
ABRA	-22.722035408913435	-65.69730946312445	0.019	0.072	1896	2016-05-11
AUTF	-54.83952495941909	-68.30356658110837	-0.007	0.050	1896	2016-05-11
AZUL	-36.76702223009906	-59.8812801842934	0.008	-0.009	1896	2016-05-11
BCAR	-37.76123356567683	-58.30109509354228	-0.008	0.002	1896	2016-05-11
BCH1	-41.146773039395406	-71.29891259703122	-0.016	0.043	1896	2016-05-11
CATA	-28.470985029061833	-65.77412091331433	-0.013	0.002	1896	2016-05-11
CORD	-31.52843459008249	-64.47004826897802	-0.001	0.002	1896	2016-05-11
COYQ	-45.51434093340902	-71.89208081758498	-0.041	0.029	1896	2016-05-11
CSLO	-31.78488726582588	-69.30221395819393	0.053	0.026	1896	2016-05-11
ESQU	-42.91711362530842	-71.32340060433296	0.007	-0.030	1896	2016-05-11
GUAY	-31.869130428540167	-59.02622282602728	-0.001	-0.004	1896	2016-05-11
IGM1	-34.57224370224664	-58.4393193260698	-0.000	-0.001	1896	2016-05-11
JBAL	-27.584408297893866	-65.62274965425992	0.004	0.019	1896	2016-05-11
LHCL	-38.00265952311207	-65.59524722917732	-0.014	-0.019	1896	2016-05-11
LPGS	-34.906745112175344	-57.93229954069133	0.005	-0.000	1896	2016-05-11
MA01	-38.951048919885025	-68.05735158169708	0.073	-0.093	1896	2016-05-11
MECO	-29.184887143117987	-58.075845330311196	0.001	0.004	1896	2016-05-11
MGUE	-35.7773519757052	-69.39791955304007	0.148	-0.492	1896	2016-05-11
MPL2	-38.00576733725101	-57.57129728813324	0.008	0.006	1896	2016-05-11
MZAC	-32.89515276182431	-68.87557364319174	0.011	0.046	1896	2016-05-11
MZAE	-33.2548431926997	-68.15006143589231	-0.010	0.045	1896	2016-05-11
MZAL	-32.72071487374723	-68.59522290745585	0.010	0.047	1896	2016-05-11
MZAU	-33.73595663937883	-69.11841199430093	-0.027	-0.231	1896	2016-05-11
MZGA	-34.97843322273402	-67.69616573922097	-0.074	0.143	1896	2016-05-11
NESA	-40.105393075307816	-64.45400475037691	-0.013	0.049	1896	2016-05-11
PEJO	-35.80632460569043	-61.894638641610676	-0.017	0.022	1896	2016-05-11
PRCV	-24.962753927614642	-53.46632948558449	0.017	0.005	1896	2016-05-11
RECO	-29.14635862122474	-59.66442943950647	0.002	0.011	1896	2016-05-11
RIO2	-53.78547188615282	-67.75111788925638	-0.007	-0.027	1896	2016-05-11
RSAL	-29.789444676676577	-55.768839926369246	0.002	-0.002	1896	2016-05-11
RSCL	-28.141879535665133	-54.754759511457145	0.001	0.002	1896	2016-05-11
RWSN	-43.298880660070104	-65.10724833970625	-0.008	0.105	1896	2016-05-11
SANT	-33.15028802568159	-70.66855372004432	-0.072	-0.006	1896	2016-05-11
SL01	-33.15635627824368	-66.31400958032137	-0.053	0.044	1896	2016-05-11
SRLP	-36.621499459860786	-64.28040465777126	-0.004	-0.008	1896	2016-05-11
SVIC	-26.993713676290895	-54.48752051750666	-0.012	-0.001	1896	2016-05-11
TERO	-27.789145165540354	-64.25678073035498	0.008	-0.007	1896	2016-05-11
UCOR	-31.434959985505085	-64.19350560160618	0.016	0.005	1896	2016-05-11
UNPA	-51.64799258327335	-69.20865409567784	0.041	-0.020	1896	2016-05-11
UNRO	-32.959352931138326	-60.62842521633276	-0.007	-0.003	1896	2016-05-11
UNSA	-24.727456333435057	-65.40764329775263	-0.010	-0.042	1896	2016-05-11
UNSJ	-31.54125781896486	-68.57706068957148	-0.003	0.048	1896	2016-05-11
UYCO	-34.462987084415765	-57.83538153781182	-0.004	-0.004	1896	2016-05-11
UYPA	-32.291249580770206	-58.067188502863395	0.003	0.001	1896	2016-05-11
UYSA	-31.375171818146526	-57.95978005460757	-0.002	-0.001	1896	2016-05-11
UYSO	-33.2612616143228	-58.01361780371121	-0.001	0.009	1896	2016-05-11
UYTD	-30.946270341751447	-57.52450132296068	-0.000	0.004	1896	2016-05-11
VBCA	-38.700768190358396	-62.26922711152452	-0.002	0.001	1896	2016-05-11
YCBA	-22.0171034483961	-63.67998476251615	-0.001	-0.022	1896	2016-05-11
YEMA	-24.280730908188566	-61.236506049181756	-0.008	-0.033	1896	2016-05-11
