ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.006	-0.016	1795	2014-06-04
AUTF	-54.83952495941909	-68.30356658110837	-0.008	0.038	1795	2014-06-04
AZUL	-36.76702223009906	-59.8812801842934	0.004	-0.010	1795	2014-06-04
BCAR	-37.76123356567683	-58.30109509354228	-0.001	0.005	1795	2014-06-04
CATA	-28.470985029061833	-65.77412091331433	-0.009	0.003	1795	2014-06-04
CHAC	-27.42043994273047	-58.959693116768456	0.010	0.011	1795	2014-06-04
CORD	-31.52843459008249	-64.47004826897802	0.001	0.005	1795	2014-06-04
COYQ	-45.51434093340902	-71.89208081758498	-0.047	0.040	1795	2014-06-04
CSLO	-31.78488726582588	-69.30221395819393	0.037	0.086	1795	2014-06-04
EBYP	-27.36894412524986	-55.89217452451775	0.000	-0.000	1795	2014-06-04
ESQU	-42.91711362530842	-71.32340060433296	-0.021	0.039	1795	2014-06-04
IGM1	-34.57224370224664	-58.4393193260698	-0.002	-0.005	1795	2014-06-04
JBAL	-27.584408297893866	-65.62274965425992	0.008	0.017	1795	2014-06-04
LHCL	-38.00265952311207	-65.59524722917732	-0.021	-0.023	1795	2014-06-04
LPGS	-34.906745112175344	-57.93229954069133	0.002	0.000	1795	2014-06-04
MA01	-38.951048919885025	-68.05735158169708	0.050	0.096	1795	2014-06-04
MGUE	-35.7773519757052	-69.39791955304007	0.086	-0.606	1795	2014-06-04
MZAC	-32.89515276182431	-68.87557364319174	-0.021	-0.058	1795	2014-06-04
MZAE	-33.2548431926997	-68.15006143589231	-0.002	-0.040	1795	2014-06-04
NESA	-40.105393075307816	-64.45400475037691	-0.012	0.045	1795	2014-06-04
PRCV	-24.962753927614642	-53.46632948558449	0.003	0.003	1795	2014-06-04
PRNA	-31.781435877828756	-60.46943928335337	0.018	0.000	1795	2014-06-04
RIO2	-53.78547188615282	-67.75111788925638	-0.006	-0.023	1795	2014-06-04
RSAL	-29.789444676676577	-55.768839926369246	-0.001	0.005	1795	2014-06-04
SL01	-33.15635627824368	-66.31400958032137	-0.065	-0.029	1795	2014-06-04
SVIC	-26.993713676290895	-54.48752051750666	-0.003	-0.004	1795	2014-06-04
TERO	-27.789145165540354	-64.25678073035498	0.008	-0.018	1795	2014-06-04
TUCU	-26.843255097854012	-65.23035158308355	-0.002	-0.002	1795	2014-06-04
UCOR	-31.434959985505085	-64.19350560160618	0.013	0.005	1795	2014-06-04
UNPA	-51.64799258327335	-69.20865409567784	0.037	-0.008	1795	2014-06-04
UNRO	-32.959352931138326	-60.62842521633276	-0.017	-0.005	1795	2014-06-04
UNSA	-24.727456333435057	-65.40764329775263	0.016	-0.016	1795	2014-06-04
UNSJ	-31.54125781896486	-68.57706068957148	0.011	0.045	1795	2014-06-04
UYPA	-32.291249580770206	-58.067188502863395	0.002	-0.001	1795	2014-06-04
UYSO	-33.2612616143228	-58.01361780371121	-0.003	0.009	1795	2014-06-04
VBCA	-38.700768190358396	-62.26922711152452	-0.005	0.014	1795	2014-06-04
YCBA	-22.0171034483961	-63.67998476251615	0.011	-0.004	1795	2014-06-04
