week	st	1st	2nd	3rd
1742	ESQU	NESA	LHCL	MGUE
1743	ESQU	NESA	LHCL	MGUE
1744	ESQU	NESA	LHCL	MGUE
1745	ESQU	NESA	LHCL	MGUE
1746	ESQU	NESA	LHCL	MGUE
1747	ESQU	NESA	LHCL	MGUE
1748	ESQU	NESA	LHCL	MGUE
1749	ESQU	NESA	LHCL	MGUE
1750	ESQU	NESA	LHCL	MGUE
1751	ESQU	NESA	LHCL	MGUE
1752	ESQU	NESA	LHCL	MGUE
1753	ESQU	NESA	LHCL	MGUE
1754	ESQU	NESA	LHCL	MGUE
1755	ESQU	NESA	LHCL	MGUE
1756	ESQU	MA01	NESA	LHCL
1757	ESQU	MA01	NESA	LHCL
1758	ESQU	NESA	LHCL	MGUE
1759	ESQU	NESA	LHCL	MGUE
1760	ESQU	MA01	NESA	LHCL
1761	ESQU	MA01	NESA	LHCL
1762	ESQU	MA01	NESA	LHCL
1763	ESQU	MA01	NESA	LHCL
1764	ESQU	MA01	NESA	LHCL
1765	ESQU	MA01	NESA	LHCL
1766	ESQU	NESA	LHCL	MGUE
1767	ESQU	NESA	LHCL	MGUE
1769	ESQU	NESA	LHCL	MGUE
1770	ESQU	NESA	LHCL	MGUE
1771	ESQU	NESA	LHCL	MGUE
1772	ESQU	NESA	LHCL	MGUE
1773	ESQU	NESA	LHCL	MGUE
1774	ESQU	NESA	LHCL	MGUE
1775	ESQU	NESA	LHCL	MGUE
1776	ESQU	NESA	LHCL	MGUE
1777	ESQU	NESA	LHCL	MGUE
1778	ESQU	NESA	LHCL	MGUE
1779	ESQU	MA01	NESA	LHCL
1780	ESQU	MA01	NESA	LHCL
1781	ESQU	MA01	NESA	LHCL
1782	ESQU	MA01	NESA	LHCL
1783	ESQU	MA01	NESA	LHCL
1784	ESQU	MA01	NESA	LHCL
1785	ESQU	MA01	NESA	LHCL
1786	ESQU	MA01	NESA	LHCL
1787	ESQU	MA01	NESA	LHCL
1788	ESQU	MA01	NESA	LHCL
1789	ESQU	MA01	NESA	LHCL
1790	ESQU	MA01	NESA	LHCL
1791	ESQU	COYQ	MA01	NESA
1792	ESQU	COYQ	MA01	NESA
1793	ESQU	COYQ	MA01	NESA
1794	ESQU	COYQ	MA01	NESA
1795	ESQU	COYQ	MA01	NESA
1796	ESQU	COYQ	MA01	NESA
1797	ESQU	COYQ	MA01	NESA
1798	ESQU	COYQ	MA01	NESA
1799	ESQU	COYQ	MA01	NESA
1800	ESQU	COYQ	MA01	NESA
1801	ESQU	COYQ	MA01	NESA
1802	ESQU	COYQ	MA01	NESA
1803	ESQU	COYQ	RWSN	MA01
1804	ESQU	COYQ	RWSN	MA01
1805	ESQU	COYQ	RWSN	MA01
1806	ESQU	COYQ	RWSN	MA01
1807	ESQU	COYQ	RWSN	MA01
1808	ESQU	COYQ	RWSN	MA01
1809	ESQU	COYQ	RWSN	MA01
1810	ESQU	COYQ	MA01	NESA
1811	ESQU	COYQ	MA01	NESA
1812	ESQU	COYQ	MA01	NESA
1813	ESQU	COYQ	MA01	NESA
1814	ESQU	COYQ	RWSN	MA01
1815	ESQU	COYQ	MA01	NESA
1816	ESQU	COYQ	MA01	NESA
1817	ESQU	COYQ	MA01	NESA
1818	ESQU	COYQ	MA01	NESA
1819	ESQU	COYQ	MA01	NESA
1820	ESQU	COYQ	RWSN	MA01
1821	ESQU	COYQ	RWSN	MA01
1822	ESQU	COYQ	RWSN	MA01
1823	ESQU	COYQ	MA01	NESA
1824	ESQU	COYQ	MA01	NESA
1825	ESQU	COYQ	RWSN	MA01
1826	ESQU	COYQ	MA01	NESA
1827	ESQU	COYQ	RWSN	MA01
1828	ESQU	COYQ	RWSN	MA01
1830	ESQU	COYQ	RWSN	MA01
1831	ESQU	COYQ	RWSN	MA01
1832	ESQU	COYQ	RWSN	MA01
1833	ESQU	COYQ	RWSN	MA01
1834	ESQU	COYQ	RWSN	MA01
1835	ESQU	COYQ	RWSN	MA01
1836	ESQU	COYQ	RWSN	MA01
1837	ESQU	COYQ	RWSN	MA01
1838	ESQU	COYQ	RWSN	MA01
1839	ESQU	COYQ	RWSN	MA01
1840	ESQU	COYQ	RWSN	MA01
1841	ESQU	COYQ	RWSN	MA01
1842	ESQU	COYQ	RWSN	MA01
1843	ESQU	COYQ	RWSN	MA01
1844	ESQU	COYQ	RWSN	MA01
1845	ESQU	COYQ	RWSN	MA01
1846	ESQU	COYQ	RWSN	MA01
1847	ESQU	COYQ	RWSN	MA01
1848	ESQU	COYQ	RWSN	NESA
1849	ESQU	COYQ	RWSN	NESA
1850	ESQU	COYQ	RWSN	NESA
1851	ESQU	COYQ	RWSN	NESA
1852	ESQU	COYQ	RWSN	NESA
1853	ESQU	COYQ	RWSN	NESA
1854	ESQU	COYQ	RWSN	NESA
1855	ESQU	COYQ	RWSN	NESA
1856	ESQU	COYQ	RWSN	NESA
1858	ESQU	COYQ	RWSN	MA01
1859	ESQU	COYQ	RWSN	MA01
1860	ESQU	COYQ	RWSN	MA01
1861	ESQU	COYQ	RWSN	MA01
1862	ESQU	COYQ	RWSN	MA01
1863	ESQU	COYQ	RWSN	MA01
1864	ESQU	COYQ	RWSN	MA01
1865	ESQU	COYQ	RWSN	MA01
1866	ESQU	COYQ	RWSN	MA01
1867	ESQU	COYQ	RWSN	MA01
1868	ESQU	COYQ	RWSN	MA01
1869	ESQU	COYQ	RWSN	MA01
1870	ESQU	COYQ	RWSN	MA01
1871	ESQU	COYQ	RWSN	MA01
1872	ESQU	COYQ	RWSN	MA01
1873	ESQU	COYQ	RWSN	MA01
1874	ESQU	COYQ	RWSN	MA01
1875	ESQU	COYQ	RWSN	MA01
1876	ESQU	COYQ	RWSN	MA01
1877	ESQU	COYQ	RWSN	MA01
1878	ESQU	COYQ	RWSN	MA01
1880	ESQU	COYQ	RWSN	MA01
1882	ESQU	COYQ	RWSN	MA01
1883	ESQU	COYQ	RWSN	MA01
1884	ESQU	COYQ	RWSN	MA01
1885	ESQU	COYQ	RWSN	MA01
1886	ESQU	COYQ	RWSN	MA01
1887	ESQU	COYQ	RWSN	MA01
1888	ESQU	COYQ	RWSN	MA01
1890	ESQU	COYQ	RWSN	MA01
1891	ESQU	COYQ	RWSN	MA01
1892	ESQU	COYQ	RWSN	MA01
1893	ESQU	COYQ	RWSN	MA01
1894	ESQU	COYQ	RWSN	MA01
1895	ESQU	COYQ	RWSN	MA01
1896	ESQU	BCH1	COYQ	RWSN
1897	ESQU	BCH1	COYQ	RWSN
1898	ESQU	BCH1	COYQ	RWSN
1899	ESQU	BCH1	COYQ	RWSN
1900	ESQU	BCH1	COYQ	RWSN
1901	ESQU	BCH1	COYQ	RWSN
1902	ESQU	BCH1	COYQ	RWSN
1903	ESQU	BCH1	COYQ	RWSN
1904	ESQU	BCH1	COYQ	RWSN
1906	ESQU	BCH1	COYQ	RWSN
1907	ESQU	BCH1	COYQ	RWSN
1908	ESQU	BCH1	COYQ	RWSN
1909	ESQU	BCH1	COYQ	RWSN
1910	ESQU	BCH1	COYQ	RWSN
1911	ESQU	BCH1	COYQ	RWSN
1912	ESQU	BCH1	COYQ	RWSN
1913	ESQU	BCH1	COYQ	RWSN
1914	ESQU	BCH1	COYQ	RWSN
1915	ESQU	BCH1	COYQ	RWSN
1916	ESQU	BCH1	COYQ	RWSN
1917	ESQU	BCH1	COYQ	RWSN
1918	ESQU	BCH1	COYQ	RWSN
1919	ESQU	BCH1	COYQ	RWSN
1920	ESQU	BCH1	COYQ	RWSN
1921	ESQU	BCH1	COYQ	RWSN
1922	ESQU	BCH1	COYQ	RWSN
1923	ESQU	BCH1	COYQ	RWSN
1924	ESQU	BCH1	COYQ	RWSN
1925	ESQU	BCH1	COYQ	RWSN
1926	ESQU	BCH1	COYQ	RWSN
1927	ESQU	BCH1	COYQ	RWSN
1928	ESQU	BCH1	COYQ	RWSN
1929	ESQU	BCH1	COYQ	RWSN
1930	ESQU	BCH1	COYQ	RWSN
1931	ESQU	BCH1	COYQ	RWSN
1932	ESQU	BCH1	COYQ	RWSN
1933	ESQU	BCH1	COYQ	RWSN
1934	ESQU	BCH1	COYQ	RWSN
1935	ESQU	BCH1	COYQ	RWSN
1936	ESQU	BCH1	COYQ	RWSN
1937	ESQU	BCH1	COYQ	RWSN
1938	ESQU	BCH1	COYQ	RWSN
1939	ESQU	BCH1	COYQ	RWSN
1940	ESQU	BCH1	COYQ	RWSN
1941	ESQU	BCH1	COYQ	RWSN
1942	ESQU	BCH1	COYQ	RWSN
1943	ESQU	BCH1	COYQ	RWSN
1944	ESQU	BCH1	COYQ	RWSN
1945	ESQU	BCH1	COYQ	RWSN
1946	ESQU	BCH1	RWSN	MA01
1947	ESQU	BCH1	RWSN	MA01
1948	ESQU	BCH1	RWSN	MA01
1949	ESQU	BCH1	RWSN	MA01
1950	ESQU	BCH1	RWSN	MA01
1951	ESQU	BCH1	COYQ	RWSN
1952	ESQU	BCH1	COYQ	RWSN
1953	ESQU	BCH1	COYQ	RWSN
1954	ESQU	BCH1	COYQ	RWSN
1955	ESQU	BCH1	COYQ	RWSN
1956	ESQU	BCH1	COYQ	RWSN
1957	ESQU	BCH1	COYQ	RWSN
1958	ESQU	BCH1	COYQ	RWSN
1959	ESQU	BCH1	COYQ	RWSN
1960	ESQU	BCH1	COYQ	RWSN
1961	ESQU	BCH1	COYQ	RWSN
1962	ESQU	BCH1	COYQ	RWSN
1963	ESQU	BCH1	COYQ	RWSN
1964	ESQU	BCH1	COYQ	RWSN
1965	ESQU	BCH1	COYQ	RWSN
1966	ESQU	BCH1	COYQ	RWSN
1967	ESQU	BCH1	COYQ	RWSN
1968	ESQU	BCH1	COYQ	RWSN
1969	ESQU	BCH1	COYQ	RWSN
1970	ESQU	BCH1	COYQ	RWSN
1971	ESQU	BCH1	COYQ	RWSN
1972	ESQU	BCH1	COYQ	RWSN
1677	GUAY	UYPA	PRNA	UYSO
1678	GUAY	UYPA	PRNA	UYSO
1679	GUAY	UYPA	PRNA	UYSO
1680	GUAY	UYPA	PRNA	UYSO
1681	GUAY	UYPA	PRNA	UYSO
1682	GUAY	UYPA	PRNA	UYSO
1683	GUAY	UYPA	PRNA	UYSO
1684	GUAY	UYPA	PRNA	UYSO
1685	GUAY	UYPA	PRNA	UYSO
1686	GUAY	UYPA	PRNA	UYSO
1687	GUAY	UYPA	UYSO	UNRO
1688	GUAY	UYPA	PRNA	UYSO
1689	GUAY	UYPA	PRNA	UYSO
1690	GUAY	UYPA	PRNA	UYSO
1691	GUAY	UYPA	PRNA	UYSO
1692	GUAY	UYPA	PRNA	UYSO
1693	GUAY	UYPA	PRNA	UYSO
1694	GUAY	UYPA	PRNA	UYSO
1695	GUAY	PRNA	UYSO	UNRO
1696	GUAY	PRNA	UYSO	UNRO
1697	GUAY	PRNA	UYSO	UNRO
1698	GUAY	UYPA	PRNA	UYSO
1699	GUAY	UYPA	PRNA	UYSO
1700	GUAY	UYPA	PRNA	UYSO
1701	GUAY	UYPA	PRNA	UYSO
1702	GUAY	UYPA	PRNA	UYSO
1703	GUAY	UYPA	PRNA	UYSO
1704	GUAY	UYPA	PRNA	UYSO
1705	GUAY	UYPA	PRNA	UYSO
1706	GUAY	UYPA	PRNA	UYSO
1707	GUAY	UYPA	PRNA	UYSO
1708	GUAY	UYPA	PRNA	UYSO
1709	GUAY	UYPA	PRNA	UYSO
1710	GUAY	UYPA	PRNA	UYSO
1711	GUAY	UYPA	PRNA	UYSO
1712	GUAY	UYPA	PRNA	UYSO
1713	GUAY	UYPA	PRNA	UYSO
1714	GUAY	UYPA	PRNA	UYSO
1715	GUAY	UYPA	PRNA	UYSO
1716	GUAY	UYPA	PRNA	UYSO
1717	GUAY	UYPA	PRNA	UYSO
1718	GUAY	UYPA	PRNA	UYSO
1719	GUAY	UYPA	PRNA	UYSO
1720	GUAY	UYPA	PRNA	UYSO
1721	GUAY	UYPA	PRNA	UYSO
1722	GUAY	UYPA	PRNA	UYSO
1723	GUAY	UYPA	PRNA	UYSO
1724	GUAY	UYPA	PRNA	UYSO
1725	GUAY	UYPA	UYSO	UNRO
1726	GUAY	UYPA	UYSO	UNRO
1727	GUAY	UYPA	PRNA	UYSO
1728	GUAY	UYPA	PRNA	UYSO
1729	GUAY	UYPA	PRNA	UYSO
1730	GUAY	UYPA	PRNA	UYSO
1731	GUAY	UYPA	PRNA	UYSO
1732	GUAY	UYPA	PRNA	UYSO
1733	GUAY	UYPA	PRNA	UYSO
1734	GUAY	UYPA	PRNA	UYSO
1735	GUAY	UYPA	PRNA	UYSO
1736	GUAY	UYPA	PRNA	UYSO
1737	GUAY	UYPA	PRNA	UYSO
1738	GUAY	UYPA	PRNA	UYSO
1739	GUAY	UYPA	PRNA	UYSO
1740	GUAY	UYPA	PRNA	UYSO
1741	GUAY	UYPA	PRNA	UYSO
1742	GUAY	UYPA	PRNA	UYSO
1743	GUAY	UYPA	PRNA	UYSO
1744	GUAY	UYPA	PRNA	UYSO
1745	GUAY	UYPA	PRNA	UYSO
1746	GUAY	UYPA	PRNA	UYSO
1747	GUAY	UYPA	PRNA	UYSO
1748	GUAY	UYPA	PRNA	UYSO
1749	GUAY	UYPA	PRNA	UYSO
1750	GUAY	UYPA	PRNA	UYSO
1751	GUAY	UYPA	PRNA	UYSO
1752	GUAY	UYPA	PRNA	UYSO
1753	GUAY	UYPA	PRNA	UYSO
1754	GUAY	UYPA	PRNA	UYSO
1755	GUAY	UYPA	PRNA	UYSO
1756	GUAY	UYPA	PRNA	UYSO
1757	GUAY	UYPA	PRNA	UYSO
1758	GUAY	UYPA	PRNA	UYSO
1759	GUAY	UYPA	PRNA	UYSO
1760	GUAY	UYPA	PRNA	UYSO
1761	GUAY	UYPA	UYSO	UNRO
1762	GUAY	UYPA	UYSO	UNRO
1763	GUAY	UYPA	UYSO	UNRO
1764	GUAY	UYPA	PRNA	UYSO
1765	GUAY	UYPA	PRNA	UYSO
1766	GUAY	UYPA	PRNA	UYSO
1767	GUAY	UYPA	PRNA	UYSO
1769	GUAY	UYPA	PRNA	UYSO
1770	GUAY	UYPA	PRNA	UYSO
1771	GUAY	UYPA	PRNA	UYSO
1772	GUAY	UYPA	PRNA	UYSO
1773	GUAY	UYPA	PRNA	UYSO
1774	GUAY	UYPA	PRNA	UYSO
1775	GUAY	UYPA	PRNA	UYSO
1776	GUAY	UYPA	PRNA	UYSO
1777	GUAY	UYPA	PRNA	UYSO
1778	GUAY	UYPA	PRNA	UNRO
1779	GUAY	UYPA	PRNA	UNRO
1780	GUAY	UYPA	PRNA	UYSO
1781	GUAY	UYPA	PRNA	UYSO
1810	GUAY	UYPA	PRNA	UYSO
1811	GUAY	UYPA	PRNA	UYSO
1812	GUAY	UYPA	PRNA	UYSO
1813	GUAY	UYPA	PRNA	UYSO
1814	GUAY	PRNA	UYSO	UNRO
1815	GUAY	UYPA	PRNA	UYSO
1816	GUAY	UYPA	PRNA	UYSO
1817	GUAY	UYPA	PRNA	UYSO
1818	GUAY	UYPA	PRNA	UYSO
1819	GUAY	UYPA	PRNA	UYSO
1820	GUAY	UYPA	PRNA	UYSO
1830	GUAY	UYPA	PRNA	UYSO
1831	GUAY	UYPA	PRNA	UYSO
1832	GUAY	UYPA	PRNA	UYSO
1833	GUAY	UYPA	PRNA	UYSO
1834	GUAY	UYPA	PRNA	UYSO
1835	GUAY	UYPA	PRNA	UYSO
1836	GUAY	UYPA	PRNA	UYSO
1837	GUAY	UYPA	PRNA	UYSO
1838	GUAY	UYPA	PRNA	UYSO
1839	GUAY	UYPA	PRNA	UYSO
1840	GUAY	UYPA	PRNA	UYSO
1841	GUAY	UYPA	PRNA	UYSO
1842	GUAY	UYPA	PRNA	UYSO
1868	GUAY	UYPA	PRNA	UYSO
1869	GUAY	UYPA	PRNA	UYSO
1870	GUAY	UYPA	UYSA	PRNA
1871	GUAY	UYPA	UYSA	PRNA
1872	GUAY	UYPA	UYSA	PRNA
1873	GUAY	UYPA	UYSA	PRNA
1874	GUAY	UYPA	UYSA	PRNA
1875	GUAY	UYPA	UYSA	PRNA
1876	GUAY	UYPA	UYSA	PRNA
1877	GUAY	UYSA	PRNA	UYTD
1878	GUAY	UYPA	UYSA	PRNA
1880	GUAY	UYPA	UYSA	PRNA
1882	GUAY	UYPA	UYSA	PRNA
1883	GUAY	UYPA	UYSA	UYTD
1884	GUAY	UYPA	UYSA	UYTD
1885	GUAY	UYPA	UYSA	UYTD
1886	GUAY	UYPA	UYSA	PRNA
1887	GUAY	UYPA	UYSA	PRNA
1888	GUAY	UYPA	UYSA	UYTD
1890	GUAY	UYPA	UYSA	PRNA
1891	GUAY	UYPA	UYSA	PRNA
1892	GUAY	UYPA	UYSA	PRNA
1893	GUAY	UYPA	UYSA	PRNA
1894	GUAY	UYPA	UYSA	PRNA
1895	GUAY	UYPA	UYSA	PRNA
1896	GUAY	UYPA	UYSA	UYTD
1897	GUAY	UYSA	UYTD	UYSO
1898	GUAY	UYPA	UYSA	UYTD
1899	GUAY	UYPA	UYSA	UYTD
1900	GUAY	UYPA	UYSA	UYTD
1901	GUAY	UYPA	UYSA	UYTD
1902	GUAY	UYPA	UYSA	UYTD
1903	GUAY	UYPA	UYSA	UYTD
1904	GUAY	UYPA	UYSA	PRNA
1905	GUAY	UYPA	UYSA	PRNA
1906	GUAY	UYPA	UYSA	PRNA
1907	GUAY	UYPA	UYSA	PRNA
1908	GUAY	UYPA	UYSA	PRNA
1909	GUAY	UYPA	UYSA	PRNA
1910	GUAY	UYPA	UYSA	PRNA
1911	GUAY	UYPA	UYSA	PRNA
1912	GUAY	UYPA	UYSA	PRNA
1913	GUAY	UYPA	UYSA	PRNA
1914	GUAY	UYPA	UYSA	PRNA
1915	GUAY	UYPA	UYSA	PRNA
1916	GUAY	UYPA	UYSA	PRNA
1917	GUAY	UYPA	UYSA	PRNA
1918	GUAY	UYPA	UYSA	PRNA
1919	GUAY	UYPA	UYSA	PRNA
1920	GUAY	UYPA	UYSA	PRNA
1921	GUAY	UYPA	UYSA	PRNA
1922	GUAY	UYPA	UYSA	PRNA
1923	GUAY	UYPA	UYSA	UYTD
1924	GUAY	UYPA	UYSA	UYTD
1925	GUAY	UYPA	UYSA	UYTD
1926	GUAY	UYPA	UYSA	PRNA
1927	GUAY	UYPA	UYSA	PRNA
1928	GUAY	UYPA	UYSA	PRNA
1929	GUAY	UYPA	UYSA	PRNA
1930	GUAY	UYPA	UYSA	PRNA
1934	GUAY	UYPA	UYSA	PRNA
1935	GUAY	UYPA	UYSA	PRNA
1936	GUAY	UYPA	UYSA	PRNA
1937	GUAY	UYPA	UYSA	PRNA
1938	GUAY	UYPA	UYSA	PRNA
1940	GUAY	UYPA	UYSA	PRNA
1941	GUAY	UYPA	UYSA	UYTD
1942	GUAY	UYPA	UYSA	UYTD
1943	GUAY	UYPA	UYSA	UYTD
1944	GUAY	UYPA	UYSA	UYTD
1945	GUAY	UYPA	UYSA	UYTD
1946	GUAY	UYPA	UYSA	PRNA
1947	GUAY	UYPA	UYSA	PRNA
1948	GUAY	UYPA	UYSA	PRNA
1949	GUAY	UYPA	UYSA	UYTD
1950	GUAY	UYPA	UYSA	UYTD
1951	GUAY	UYPA	UYSA	UYTD
1952	GUAY	UYPA	UYSA	UYTD
1953	GUAY	UYPA	UYSA	UYTD
1954	GUAY	UYPA	UYSA	UYTD
1955	GUAY	UYPA	UYSA	UYTD
1956	GUAY	UYPA	UYSA	UYTD
1957	GUAY	UYPA	UYSA	UYTD
1958	GUAY	UYPA	UYSA	UYTD
1959	GUAY	UYPA	UYSA	UYTD
1960	GUAY	UYPA	UYSA	UYTD
1961	GUAY	UYPA	UYSA	UYTD
1962	GUAY	UYPA	UYSA	UYTD
1963	GUAY	UYPA	UYSA	UYTD
1964	GUAY	UYPA	UYSA	PRNA
1965	GUAY	UYPA	UYSA	PRNA
1966	GUAY	UYPA	UYSA	PRNA
1967	GUAY	UYPA	UYSA	PRNA
1968	GUAY	UYPA	UYSA	PRNA
1969	GUAY	UYPA	UYSA	PRNA
1970	GUAY	UYPA	UYSA	PRNA
1971	GUAY	UYPA	UYSA	PRNA
1972	GUAY	UYPA	UYSA	PRNA
1640	IGM1	LPGS	UYSO	UYPA
1641	IGM1	LPGS	UYSO	UYPA
1642	IGM1	LPGS	UYSO	UYPA
1643	IGM1	LPGS	UYSO	UYPA
1644	IGM1	LPGS	UYSO	UYPA
1645	IGM1	LPGS	UYSO	UYPA
1646	IGM1	LPGS	UYSO	UYPA
1647	IGM1	LPGS	UYSO	UYPA
1648	IGM1	LPGS	UYSO	UYPA
1649	IGM1	LPGS	UYSO	UYPA
1650	IGM1	LPGS	UYSO	UYPA
1651	IGM1	LPGS	UYSO	UYPA
1652	IGM1	LPGS	UYSO	UYPA
1653	IGM1	LPGS	UYSO	UYPA
1654	IGM1	LPGS	UYSO	UYPA
1655	IGM1	LPGS	UYSO	UYPA
1656	IGM1	LPGS	UYSO	UYPA
1657	IGM1	LPGS	UYSO	UYPA
1658	IGM1	UYSO	UYPA	UNRO
1659	IGM1	LPGS	UYSO	UYPA
1660	IGM1	LPGS	UYSO	UYPA
1661	IGM1	LPGS	UYSO	UYPA
1662	IGM1	LPGS	UYSO	UYPA
1663	IGM1	LPGS	UYSO	UYPA
1664	IGM1	LPGS	UYSO	UYPA
1665	IGM1	LPGS	UYSO	UYPA
1666	IGM1	LPGS	UYSO	UYPA
1667	IGM1	LPGS	UYSO	UYPA
1668	IGM1	LPGS	UYSO	UYPA
1669	IGM1	LPGS	UYSO	UYPA
1670	IGM1	LPGS	UYSO	UYPA
1671	IGM1	LPGS	UYSO	UYPA
1672	IGM1	LPGS	UYSO	UYPA
1673	IGM1	LPGS	UYSO	UYPA
1674	IGM1	LPGS	UYSO	UYPA
1675	IGM1	LPGS	UYSO	UYPA
1676	IGM1	LPGS	UYSO	UYPA
1677	IGM1	LPGS	UYSO	UYPA
1678	IGM1	LPGS	UYSO	UYPA
1679	IGM1	LPGS	UYSO	UYPA
1680	IGM1	UYSO	UYPA	UNRO
1681	IGM1	LPGS	UYSO	UYPA
1682	IGM1	LPGS	UYSO	UYPA
1683	IGM1	LPGS	UYSO	UYPA
1684	IGM1	LPGS	UYSO	UYPA
1685	IGM1	LPGS	UYSO	UYPA
1686	IGM1	LPGS	UYSO	UYPA
1687	IGM1	LPGS	UYSO	UYPA
1688	IGM1	LPGS	UYSO	UYPA
1689	IGM1	LPGS	UYSO	UYPA
1690	IGM1	LPGS	UYSO	UYPA
1691	IGM1	LPGS	UYSO	UYPA
1692	IGM1	LPGS	UYSO	UYPA
1693	IGM1	LPGS	UYSO	UYPA
1694	IGM1	LPGS	UYSO	UYPA
1695	IGM1	LPGS	UYSO	UNRO
1696	IGM1	LPGS	UYSO	UNRO
1697	IGM1	LPGS	UYSO	UNRO
1698	IGM1	LPGS	UYSO	UYPA
1699	IGM1	LPGS	UYSO	UYPA
1700	IGM1	LPGS	UYSO	UYPA
1701	IGM1	LPGS	UYSO	UYPA
1702	IGM1	LPGS	UYSO	UYPA
1703	IGM1	LPGS	UYSO	UYPA
1704	IGM1	LPGS	UYSO	UYPA
1705	IGM1	LPGS	UYSO	UYPA
1706	IGM1	LPGS	UYSO	UYPA
1707	IGM1	LPGS	UYSO	UYPA
1708	IGM1	LPGS	UYSO	UYPA
1709	IGM1	LPGS	UYSO	UYPA
1710	IGM1	LPGS	UYSO	UYPA
1711	IGM1	LPGS	UYSO	UYPA
1712	IGM1	LPGS	UYSO	UYPA
1713	IGM1	LPGS	UYSO	UYPA
1714	IGM1	LPGS	UYSO	UYPA
1715	IGM1	LPGS	UYSO	UYPA
1716	IGM1	LPGS	UYSO	UYPA
1717	IGM1	LPGS	UYSO	UYPA
1718	IGM1	LPGS	UYSO	UYPA
1719	IGM1	LPGS	UYSO	UYPA
1720	IGM1	LPGS	UYSO	UYPA
1721	IGM1	LPGS	UYSO	UYPA
1722	IGM1	LPGS	UYSO	UYPA
1723	IGM1	LPGS	UYSO	UYPA
1724	IGM1	LPGS	UYSO	UYPA
1725	IGM1	LPGS	UYSO	UYPA
1726	IGM1	LPGS	UYSO	UYPA
1727	IGM1	LPGS	UYSO	UYPA
1728	IGM1	LPGS	UYSO	UYPA
1729	IGM1	LPGS	UYSO	UYPA
1730	IGM1	LPGS	UYSO	UYPA
1731	IGM1	LPGS	UYSO	UYPA
1732	IGM1	LPGS	UYSO	UYPA
1733	IGM1	LPGS	UYSO	UYPA
1734	IGM1	LPGS	UYSO	UYPA
1735	IGM1	UYSO	UYPA	UNRO
1736	IGM1	LPGS	UYSO	UYPA
1737	IGM1	LPGS	UYSO	UYPA
1738	IGM1	LPGS	UYSO	UYPA
1739	IGM1	LPGS	UYSO	UYPA
1740	IGM1	LPGS	UYSO	UYPA
1741	IGM1	LPGS	UYSO	UYPA
1742	IGM1	LPGS	UYSO	UYPA
1743	IGM1	LPGS	UYSO	UYPA
1744	IGM1	LPGS	UYSO	UYPA
1745	IGM1	LPGS	UYSO	UYPA
1746	IGM1	LPGS	UYSO	UYPA
1747	IGM1	LPGS	UYSO	UYPA
1748	IGM1	LPGS	UYSO	UYPA
1749	IGM1	LPGS	UYSO	UYPA
1750	IGM1	LPGS	UYSO	UYPA
1751	IGM1	LPGS	UYSO	UYPA
1752	IGM1	LPGS	UYSO	UYPA
1753	IGM1	LPGS	UYSO	UYPA
1754	IGM1	LPGS	UYSO	UYPA
1755	IGM1	LPGS	UYSO	UYPA
1756	IGM1	LPGS	UYSO	UYPA
1757	IGM1	LPGS	UYSO	UYPA
1758	IGM1	LPGS	UYSO	UYPA
1759	IGM1	LPGS	UYSO	UYPA
1760	IGM1	LPGS	UYSO	UYPA
1761	IGM1	LPGS	UYSO	UYPA
1762	IGM1	LPGS	UYSO	UYPA
1763	IGM1	LPGS	UYSO	UYPA
1764	IGM1	LPGS	UYSO	UYPA
1765	IGM1	LPGS	UYSO	UYPA
1766	IGM1	LPGS	UYSO	UYPA
1767	IGM1	LPGS	UYSO	UYPA
1769	IGM1	LPGS	UYSO	UYPA
1770	IGM1	LPGS	UYSO	UYPA
1771	IGM1	LPGS	UYSO	UYPA
1772	IGM1	LPGS	UYSO	UYPA
1773	IGM1	LPGS	UYSO	UYPA
1774	IGM1	LPGS	UYSO	UYPA
1775	IGM1	LPGS	UYSO	UYPA
1776	IGM1	LPGS	UYSO	UYPA
1777	IGM1	LPGS	UYSO	UYPA
1778	IGM1	LPGS	UYPA	UNRO
1779	IGM1	LPGS	UYPA	UNRO
1780	IGM1	LPGS	UYSO	UYPA
1781	IGM1	LPGS	UYSO	UYPA
1782	IGM1	LPGS	UYSO	UYPA
1783	IGM1	LPGS	UYSO	UYPA
1784	IGM1	LPGS	UYSO	UYPA
1785	IGM1	LPGS	UYSO	UYPA
1786	IGM1	LPGS	UYSO	UYPA
1787	IGM1	LPGS	UYSO	UYPA
1788	IGM1	LPGS	UYSO	UYPA
1789	IGM1	LPGS	UYSO	UYPA
1790	IGM1	LPGS	UYSO	UYPA
1791	IGM1	LPGS	UYSO	UYPA
1792	IGM1	LPGS	UYSO	UYPA
1793	IGM1	LPGS	UYSO	UYPA
1794	IGM1	LPGS	UYSO	UYPA
1795	IGM1	LPGS	UYSO	UYPA
1796	IGM1	LPGS	UYSO	UYPA
1797	IGM1	LPGS	UYSO	UYPA
1798	IGM1	LPGS	UYSO	UYPA
1799	IGM1	LPGS	UYSO	UYPA
1800	IGM1	LPGS	UYSO	UYPA
1801	IGM1	LPGS	UYSO	UYPA
1802	IGM1	LPGS	UYSO	UYPA
1803	IGM1	LPGS	UYSO	UYPA
1804	IGM1	LPGS	UYSO	UYPA
1805	IGM1	LPGS	UYSO	UYPA
1806	IGM1	LPGS	UYSO	UYPA
